team,score,overs,rpo,innings,result,opposition,ground,date,toss
Australia,133/1,20.4,6.43,2,won,v Bangladesh,Colombo (SSC),2002-09-19,lost
South Africa,316/5,50,6.32,1,won,v Kenya,Colombo (RPS),2002-09-20,won
Kenya,140,46.5,2.98,2,lost,v South Africa,Colombo (RPS),2002-09-20,lost
Netherlands,136,50,2.72,1,lost,v Pakistan,Colombo (SSC),2002-09-21,won
Pakistan,142/1,16.2,8.69,2,won,v Netherlands,Colombo (SSC),2002-09-21,lost
England,269/7,50,5.38,1,lost,v India,Colombo (RPS),2002-09-22,won
India,271/2,39.3,6.86,2,won,v England,Colombo (RPS),2002-09-22,lost
New Zealand,244/9,50,4.88,1,won,v Bangladesh,Colombo (SSC),2002-09-23,lost
Bangladesh,77,19.3,3.94,2,lost,v New Zealand,Colombo (SSC),2002-09-23,won
India,261/9,50,5.22,1,won,v South Africa,Colombo (RPS),2002-09-25,won
South Africa,251/6,50,5.02,2,lost,v India,Colombo (RPS),2002-09-25,lost
Australia,162,48.4,3.32,1,lost,v Sri Lanka,Colombo (RPS),2002-09-27,won
Sri Lanka,163/3,40,4.07,2,won,v Australia,Colombo (RPS),2002-09-27,lost
Sri Lanka,244/5,50,4.88,1,n/r,v India,Colombo (RPS),2002-09-29,won
India,14/0,2,7,2,n/r,v Sri Lanka,Colombo (RPS),2002-09-29,lost
Sri Lanka,222/7,50,4.44,1,n/r,v India,Colombo (RPS),2002-09-30,won
India,38/1,8.4,4.38,2,n/r,v Sri Lanka,Colombo (RPS),2002-09-30,lost
India,319/6,50,6.38,1,won,v Zimbabwe,Mohali,2002-10-03,won
Zimbabwe,255,43.3,5.86,2,lost,v India,Mohali,2002-10-03,lost
New Zealand,199/8,50,3.98,1,won,v Australia,Melbourne,2002-11-01,lost
Australia,176,42,4.19,2,lost,v New Zealand,Melbourne,2002-11-01,won
Pakistan,288/6,50,5.76,1,won,v New Zealand,Sharjah,2002-11-04,won
New Zealand,237/8,50,4.74,2,lost,v Pakistan,Sharjah,2002-11-04,lost
India,304,50,6.08,1,won,v Sri Lanka,Bristol,2002-11-07,won
Sri Lanka,241,44.1,5.45,2,lost,v India,Bristol,2002-11-07,lost
Zimbabwe,273/4,50,5.46,1,won,v Kenya,Kwekwe,2002-11-12,lost
Kenya,181/6,44,4.11,2,lost,v Zimbabwe,Kwekwe,2002-11-12,won
Pakistan,335/6,50,6.7,1,won,v South Africa,Port Elizabeth,2002-11-12,won
South Africa,153,29,5.27,2,lost,v Pakistan,Port Elizabeth,2002-11-12,lost
West Indies,324/4,50,6.48,1,lost,v India,Ahmedabad,2002-11-15,lost
India,325/5,47.4,6.81,2,won,v West Indies,Ahmedabad,2002-11-15,won
India,290/8,48,6.04,1,lost,v West Indies,Vadodara,2002-11-18,lost
West Indies,291/5,46.5,6.21,2,won,v India,Vadodara,2002-11-18,won
West Indies,201,46.3,4.32,1,lost,v India,Jodhpur,2002-11-21,lost
India,202/7,46.2,4.35,2,won,v West Indies,Jodhpur,2002-11-21,won
Pakistan,302/4,50,6.04,1,won,v Zimbabwe,Bulawayo,2002-11-23,won
Zimbabwe,295/9,50,5.9,2,lost,v Pakistan,Bulawayo,2002-11-23,lost
West Indies,315/6,50,6.3,1,won,v India,Vijayawada,2002-11-24,lost
India,180,36.5,4.88,2,lost,v West Indies,Vijayawada,2002-11-24,won
Pakistan,344/5,50,6.88,1,won,v Zimbabwe,Bulawayo,2002-11-24,won
Zimbabwe,140/6,33,4.24,2,lost,v Pakistan,Bulawayo,2002-11-24,lost
Pakistan,323/3,50,6.46,1,won,v Zimbabwe,Harare,2002-11-27,lost
Zimbabwe,275/7,50,5.5,2,lost,v Pakistan,Harare,2002-11-27,won
Sri Lanka,128,46.4,2.74,1,lost,v South Africa,Johannesburg,2002-11-27,lost
South Africa,129/4,29.3,4.37,2,won,v Sri Lanka,Johannesburg,2002-11-27,won
West Indies,275/7,50,5.5,1,n/r,v Bangladesh,Chittagong,2002-11-29,lost
Bangladesh,90/4,17,5.29,2,n/r,v West Indies,Chittagong,2002-11-29,won
South Africa,317/6,50,6.34,1,won,v Sri Lanka,Centurion,2002-11-29,won
Sri Lanka,140,33.2,4.2,2,lost,v South Africa,Centurion,2002-11-29,lost
Zimbabwe,210,49.5,4.21,1,lost,v Pakistan,Harare,2002-11-30,won
Pakistan,211/2,35.4,5.91,2,won,v Zimbabwe,Harare,2002-11-30,lost
Sri Lanka,239/6,50,4.78,1,won,v Pakistan,Sharjah,2002-12-04,won
Pakistan,230/5,50,4.6,2,lost,v Sri Lanka,Sharjah,2002-12-04,lost
Pakistan,176/8,50,3.52,1,lost,v Australia,Melbourne (Docklands),2002-12-06,lost
Australia,177/3,32.5,5.39,2,won,v Pakistan,Melbourne (Docklands),2002-12-06,won
New Zealand,212/5,44.2,4.78,1,won,v West Indies,Port of Spain,2002-12-06,won
West Indies,202/9,33,6.12,2,lost,v New Zealand,Port of Spain,2002-12-06,lost
South Africa,283/9,50,5.66,1,won,v Pakistan,Tangier,2002-12-08,won
Pakistan,229,43.2,5.28,2,lost,v South Africa,Tangier,2002-12-08,lost
Pakistan,200,49.4,4.02,1,lost,v Sri Lanka,Colombo (RPS),2002-12-09,won
Sri Lanka,201/2,36.1,5.55,2,won,v Pakistan,Colombo (RPS),2002-12-09,lost
West Indies,300/5,50,6,1,lost,v India,Rajkot,2002-12-11,lost
India,200/1,27.1,7.36,2,won,v West Indies,Rajkot,2002-12-11,won
West Indies,300/5,50,6,1,lost,v India,Rajkot,2002-12-11,lost
England,251/8,50,5.02,1,lost,v Australia,Sydney,2002-12-13,won
Australia,252/3,45,5.6,2,won,v England,Sydney,2002-12-13,lost
South Africa,182,47.5,3.8,1,won,v Pakistan,East London,2002-12-13,won
Pakistan,120,36.2,3.3,2,lost,v South Africa,East London,2002-12-13,lost
Australia,318/6,50,6.36,1,won,v England,Melbourne,2002-12-15,won
England,229,48,4.77,2,lost,v Australia,Melbourne,2002-12-15,lost
Kenya,133,29,4.58,1,lost,v Zimbabwe,Bulawayo,2002-12-15,won
Zimbabwe,136/1,16,8.5,2,won,v Kenya,Bulawayo,2002-12-15,lost
Pakistan,213,48.4,4.37,1,lost,v South Africa,Paarl,2002-12-16,won
South Africa,214/1,42,5.09,2,won,v Pakistan,Paarl,2002-12-16,lost
England,292,50,5.84,1,won,v Sri Lanka,Brisbane,2002-12-17,won
Sri Lanka,249/6,50,4.98,2,lost,v England,Brisbane,2002-12-17,lost
South Africa,265/8,50,5.3,1,won,v Pakistan,Cape Town,2002-12-18,won
Pakistan,231,47.4,4.84,2,lost,v South Africa,Cape Town,2002-12-18,lost
England,258/9,50,5.16,1,won,v Sri Lanka,Perth,2002-12-20,won
Sri Lanka,163,43.4,3.73,2,lost,v England,Perth,2002-12-20,lost
Australia,305/5,50,6.1,1,won,v Sri Lanka,Perth,2002-12-22,won
Sri Lanka,163,43,3.79,2,lost,v Australia,Perth,2002-12-22,lost
India,108,32.5,3.28,1,lost,v New Zealand,Auckland,2002-12-26,lost
New Zealand,109/7,37.4,2.89,2,won,v India,Auckland,2002-12-26,won
New Zealand,254/9,50,5.08,1,won,v India,Napier,2002-12-29,lost
India,219,43.4,5.01,2,lost,v New Zealand,Napier,2002-12-29,won
India,108,41.1,2.62,1,lost,v New Zealand,Christchurch,2003-01-01,won
New Zealand,109/5,26.5,4.06,2,won,v India,Christchurch,2003-01-01,lost
Kenya,217/7,50,4.34,1,won,v Bangladesh,Johannesburg,2003-01-03,won
Bangladesh,185,47.2,3.9,2,lost,v Kenya,Johannesburg,2003-01-03,lost
Pakistan,273/7,50,5.46,1,lost,v India,Centurion,2003-01-03,won
India,276/4,45.4,6.04,2,won,v Pakistan,Centurion,2003-01-03,lost
Australia,247/8,50,4.94,1,lost,v West Indies,St George's,2003-01-06,won
West Indies,249/1,43.3,5.72,2,won,v Australia,St George's,2003-01-06,lost
Zimbabwe,DNB,0,0,0,n/r,v England,Leeds,2003-01-07,won
England,81/4,16.3,4.9,1,n/r,v Zimbabwe,Leeds,2003-01-07,lost
Australia,286/8,50,5.72,1,won,v India,Mumbai,2003-01-11,won
India,209,46.2,4.51,2,lost,v Australia,Mumbai,2003-01-11,lost
Pakistan,281/6,50,5.62,1,won,v New Zealand,Lahore,2003-01-12,won
New Zealand,157,38.5,4.04,2,lost,v Pakistan,Lahore,2003-01-12,lost
Sri Lanka,284/7,50,5.68,1,won,v England,Sydney,2003-01-13,won
England,253,49.2,5.12,2,lost,v Sri Lanka,Sydney,2003-01-13,lost
India,122,44.5,2.72,1,lost,v New Zealand,Hamilton,2003-01-14,lost
New Zealand,125/4,28.4,4.36,2,won,v India,Hamilton,2003-01-14,won
Sri Lanka,211/9,50,4.22,1,lost,v Australia,Brisbane,2003-01-15,won
Australia,214/6,48.5,4.38,2,won,v Sri Lanka,Brisbane,2003-01-15,lost
England,279/7,50,5.58,1,won,v Sri Lanka,Adelaide,2003-01-17,won
Sri Lanka,260,49.2,5.27,2,lost,v England,Adelaide,2003-01-17,lost
England,152,48.3,3.13,1,lost,v Australia,Adelaide,2003-01-19,won
Australia,153/6,47.3,3.22,2,won,v England,Adelaide,2003-01-19,lost
Sri Lanka,214/8,50,4.28,1,lost,v Australia,Melbourne,2003-01-21,won
Australia,215/1,34.3,6.23,2,won,v Sri Lanka,Melbourne,2003-01-21,lost
England,117,41,2.85,1,lost,v Australia,Sydney,2003-01-23,won
Australia,118/0,12.2,9.56,2,won,v England,Sydney,2003-01-23,lost
Australia,229/7,50,4.58,1,won,v England,Melbourne,2003-01-25,won
England,224,49.3,4.52,2,lost,v Australia,Melbourne,2003-01-25,lost
England,204/8,50,4.08,1,lost,v Australia,Port Elizabeth,2003-02-03,won
Australia,208/8,49.4,4.18,2,won,v England,Port Elizabeth,2003-02-03,lost
Bangladesh,105,34,3.08,1,lost,v Australia,Cairns,2003-02-08,lost
Australia,107/2,22.3,4.75,2,won,v Bangladesh,Cairns,2003-02-08,won
New Zealand,241/7,50,4.82,1,won,v West Indies,Port Elizabeth,2003-02-13,lost
West Indies,221,49.4,4.44,2,lost,v New Zealand,Port Elizabeth,2003-02-13,won
Bangladesh,124,31.1,3.97,1,lost,v Sri Lanka,Pietermaritzburg,2003-02-14,lost
Sri Lanka,126/0,21.1,5.95,2,won,v Bangladesh,Pietermaritzburg,2003-02-14,won
India,125,41.4,3,1,lost,v Australia,Centurion,2003-02-15,won
Australia,128/1,22.2,5.73,2,won,v India,Centurion,2003-02-15,lost
Canada,197,49,4.02,1,lost,v Kenya,Cape Town,2003-02-15,won
Kenya,198/6,48.3,4.08,2,won,v Canada,Cape Town,2003-02-15,lost
Netherlands,142/9,50,2.84,1,lost,v England,East London,2003-02-16,lost
England,144/4,23.2,6.17,2,won,v Netherlands,East London,2003-02-16,won
Pakistan,255/9,50,5.1,1,won,v Namibia,Kimberley,2003-02-16,won
Namibia,84,17.4,4.75,2,lost,v Pakistan,Kimberley,2003-02-16,lost
South Africa,306/6,50,6.12,1,lost,v New Zealand,Johannesburg,2003-02-16,won
New Zealand,229/1,36.5,6.21,2,won,v South Africa,Johannesburg,2003-02-16,lost
West Indies,244/9,50,4.88,1,n/r,v Bangladesh,Benoni,2003-02-18,lost
Bangladesh,32/2,8.1,3.91,2,n/r,v West Indies,Benoni,2003-02-18,won
India,255/7,50,5.1,1,won,v Zimbabwe,Harare,2003-02-19,lost
Zimbabwe,172,44.4,3.85,2,lost,v India,Harare,2003-02-19,won
Canada,36,18.4,1.92,1,lost,v Sri Lanka,Paarl,2003-02-19,lost
Sri Lanka,37/1,4.4,7.92,2,won,v Canada,Paarl,2003-02-19,won
England,272,50,5.44,1,won,v Namibia,Port Elizabeth,2003-02-19,lost
Namibia,217/9,50,4.34,2,lost,v England,Port Elizabeth,2003-02-19,won
Australia,170/2,36,4.72,1,won,v Netherlands,Potchefstroom,2003-02-20,lost
Netherlands,122,30.2,4.02,2,lost,v Australia,Potchefstroom,2003-02-20,won
Bangladesh,108,35.1,3.07,1,lost,v South Africa,Bloemfontein,2003-02-22,lost
South Africa,109/0,12,9.08,2,won,v Bangladesh,Bloemfontein,2003-02-22,won
England,246/8,50,4.92,1,won,v Pakistan,Cape Town,2003-02-22,won
Pakistan,134,31,4.32,2,lost,v England,Cape Town,2003-02-22,lost
Canada,202,42.5,4.71,1,lost,v West Indies,Centurion,2003-02-23,lost
West Indies,206/3,20.3,10.04,2,won,v Canada,Centurion,2003-02-23,won
India,311/2,50,6.22,1,won,v Namibia,Pietermaritzburg,2003-02-23,lost
Namibia,130,42.3,3.05,2,lost,v India,Pietermaritzburg,2003-02-23,won
Kenya,210/9,50,4.2,1,won,v Sri Lanka,Nairobi (Gym),2003-02-24,lost
Sri Lanka,157,45,3.48,2,lost,v Kenya,Nairobi (Gym),2003-02-24,won
Zimbabwe,246/9,50,4.92,1,lost,v Australia,Bulawayo,2003-02-24,won
Australia,248/3,47.3,5.22,2,won,v Zimbabwe,Bulawayo,2003-02-24,lost
Pakistan,253/9,50,5.06,1,won,v Netherlands,Paarl,2003-02-25,lost
Netherlands,156,39.3,3.94,2,lost,v Pakistan,Paarl,2003-02-25,won
Bangladesh,198/7,50,3.96,1,lost,v New Zealand,Kimberley,2003-02-26,won
New Zealand,199/3,33.3,5.94,2,won,v Bangladesh,Kimberley,2003-02-26,lost
India,250/9,50,5,1,won,v England,Durban,2003-02-26,won
England,168,45.3,3.69,2,lost,v India,Durban,2003-02-26,lost
Australia,301/6,50,6.02,1,won,v Namibia,Potchefstroom,2003-02-27,won
Namibia,45,14,3.21,2,lost,v Australia,Potchefstroom,2003-02-27,lost
South Africa,254/8,50,5.08,1,won,v Canada,East London,2003-02-27,lost
Canada,136/5,50,2.72,2,lost,v South Africa,East London,2003-02-27,won
Zimbabwe,301/8,50,6.02,1,won,v Netherlands,Bulawayo,2003-02-28,lost
Netherlands,202/9,50,4.04,2,lost,v Zimbabwe,Bulawayo,2003-02-28,won
Sri Lanka,228/6,50,4.56,1,won,v West Indies,Cape Town,2003-02-28,won
West Indies,222/9,50,4.44,2,lost,v Sri Lanka,Cape Town,2003-02-28,lost
Canada,196,47,4.17,1,lost,v New Zealand,Benoni,2003-03-03,lost
New Zealand,197/5,23,8.56,2,won,v Canada,Benoni,2003-03-03,won
Netherlands,314/4,50,6.28,1,won,v Namibia,Bloemfontein,2003-03-03,won
Namibia,250,46.5,5.33,2,lost,v Netherlands,Bloemfontein,2003-03-03,lost
Sri Lanka,268/9,50,5.36,1,tied,v South Africa,Durban,2003-03-03,won
South Africa,229/6,45,5.08,2,tied,v Sri Lanka,Durban,2003-03-03,lost
Pakistan,278/7,50,5.56,1,won,v Zimbabwe,Sharjah,2003-03-04,won
Zimbabwe,210,44.1,4.75,2,lost,v Pakistan,Sharjah,2003-03-04,lost
England,223/7,50,4.46,1,lost,v South Africa,Manchester,2003-03-07,won
South Africa,227/3,47.3,4.77,2,won,v England,Manchester,2003-03-07,lost
Bangladesh,147,45.1,3.25,1,lost,v Australia,Cairns,2003-03-08,won
Australia,148/1,20.2,7.27,2,won,v Bangladesh,Cairns,2003-03-08,lost
Pakistan,277/6,50,5.54,1,won,v South Africa,Lahore,2003-03-10,won
South Africa,269/6,50,5.38,2,lost,v Pakistan,Lahore,2003-03-10,lost
New Zealand,258/9,50,5.16,1,lost,v Australia,Pune,2003-03-11,lost
Australia,259/8,49.5,5.19,2,won,v New Zealand,Pune,2003-03-11,won
Pakistan,314/7,50,6.28,1,won,v New Zealand,Faisalabad,2003-03-12,won
New Zealand,263/7,50,5.26,2,lost,v Pakistan,Faisalabad,2003-03-12,lost
New Zealand,146,45.1,3.23,1,lost,v India,Centurion,2003-03-14,lost
India,150/3,40.4,3.68,2,won,v New Zealand,Centurion,2003-03-14,won
Sri Lanka,256/5,50,5.12,1,won,v Zimbabwe,East London,2003-03-15,won
Zimbabwe,182,41.5,4.35,2,lost,v Sri Lanka,East London,2003-03-15,lost
Kenya,174/8,50,3.48,1,lost,v Australia,Durban,2003-03-15,lost
Australia,178/5,31.2,5.68,2,won,v Kenya,Durban,2003-03-15,won
Australia,212/7,50,4.24,1,won,v Sri Lanka,Port Elizabeth,2003-03-18,won
Sri Lanka,123/7,38.1,3.22,2,lost,v Australia,Port Elizabeth,2003-03-18,lost
India,270/4,50,5.4,1,won,v Kenya,Durban,2003-03-20,won
Kenya,179,46.2,3.86,2,lost,v India,Durban,2003-03-20,lost
Australia,359/2,50,7.18,1,won,v India,Johannesburg,2003-03-23,lost
India,234,39.2,5.94,2,lost,v Australia,Johannesburg,2003-03-23,won
India,122,43.4,2.79,1,lost,v New Zealand,Queenstown,2003-04-01,lost
New Zealand,123/3,25.4,4.79,2,won,v India,Queenstown,2003-04-01,won
Zimbabwe,DNB,0,0,0,n/r,v Pakistan,Bulawayo,2003-04-03,lost
Pakistan,73/3,14,5.21,1,n/r,v Zimbabwe,Bulawayo,2003-04-03,won
West Indies,246/7,50,4.92,1,won,v Kenya,Kimberley,2003-04-03,won
Kenya,104,35.5,2.9,2,lost,v West Indies,Kimberley,2003-04-03,lost
Sri Lanka,223/6,50,4.46,1,lost,v Pakistan,Sharjah,2003-04-04,won
Pakistan,225/3,47.2,4.75,2,won,v Sri Lanka,Sharjah,2003-04-04,lost
India,307/4,50,6.14,1,won,v South Africa,Dhaka,2003-04-13,won
South Africa,154,34.5,4.42,2,lost,v India,Dhaka,2003-04-13,lost
South Africa,294/3,50,5.88,1,won,v Bangladesh,Dhaka,2003-04-14,won
Bangladesh,211,49.3,4.26,2,lost,v South Africa,Dhaka,2003-04-14,lost
Bangladesh,207,49.4,4.16,1,lost,v India,Dhaka,2003-04-16,won
India,208/6,42.5,4.85,2,won,v Bangladesh,Dhaka,2003-04-16,lost
South Africa,261/5,50,5.22,1,won,v Bangladesh,Dhaka,2003-04-17,won
Bangladesh,168,49,3.42,2,lost,v South Africa,Dhaka,2003-04-17,lost
India,215,49.1,4.37,1,lost,v South Africa,Dhaka,2003-04-18,won
South Africa,216/5,48.4,4.43,2,won,v India,Dhaka,2003-04-18,lost
South Africa,DNB,0,0,0,n/r,v India,Dhaka,2003-04-21,lost
India,46/3,17.1,2.67,1,n/r,v South Africa,Dhaka,2003-04-21,won
Kenya,225/6,50,4.5,1,lost,v Zimbabwe,Sharjah,2003-05-04,won
Zimbabwe,230/5,49,4.69,2,won,v Kenya,Sharjah,2003-05-04,lost
Zimbabwe,174/8,50,3.48,1,lost,v South Africa,Cardiff,2003-05-07,lost
South Africa,175/1,34.2,5.09,2,won,v Zimbabwe,Cardiff,2003-05-07,won
Pakistan,267/7,50,5.34,1,won,v South Africa,Lahore,2003-05-10,lost
South Africa,225/9,50,4.5,2,lost,v Pakistan,Lahore,2003-05-10,won
New Zealand,183,47.5,3.82,1,lost,v Pakistan,Rawalpindi,2003-05-12,won
Pakistan,184/3,41.2,4.45,2,won,v New Zealand,Rawalpindi,2003-05-12,lost
New Zealand,139,43.1,3.22,1,lost,v Sri Lanka,Dambulla,2003-05-13,lost
Sri Lanka,143/5,43.4,3.27,2,won,v New Zealand,Dambulla,2003-05-13,won
Australia,270/5,50,5.4,1,won,v West Indies,Kingston,2003-05-17,lost
West Indies,205/8,37,5.54,2,lost,v Australia,Kingston,2003-05-17,won
Sri Lanka,172,49.5,3.45,1,won,v Pakistan,Dambulla,2003-05-18,lost
Pakistan,160,47.4,3.35,2,lost,v Sri Lanka,Dambulla,2003-05-18,won
West Indies,163,49,3.32,1,lost,v Australia,Kingston,2003-05-18,won
Australia,166/2,35.1,4.72,2,won,v West Indies,Kingston,2003-05-18,lost
New Zealand,156/8,50,3.12,1,won,v Sri Lanka,Dambulla,2003-05-19,lost
Sri Lanka,147,49.1,2.98,2,lost,v New Zealand,Dambulla,2003-05-19,won
Pakistan,203/9,50,4.06,1,won,v New Zealand,Dambulla,2003-05-20,lost
New Zealand,181,48.1,3.75,2,lost,v Pakistan,Dambulla,2003-05-20,won
Australia,258/4,50,5.16,1,won,v West Indies,Gros Islet,2003-05-21,lost
West Indies,233/9,50,4.66,2,lost,v Australia,Gros Islet,2003-05-21,won
Pakistan,198,50,3.96,1,lost,v New Zealand,Dambulla,2003-05-23,won
New Zealand,200/6,45.2,4.41,2,won,v Pakistan,Dambulla,2003-05-23,lost
Australia,286/5,50,5.72,1,won,v West Indies,Port of Spain,2003-05-24,won
West Indies,219,45.3,4.81,2,lost,v Australia,Port of Spain,2003-05-24,lost
West Indies,290/5,50,5.8,1,won,v Australia,Port of Spain,2003-05-25,won
Australia,251/9,50,5.02,2,lost,v West Indies,Port of Spain,2003-05-25,lost
Australia,252,50,5.04,1,lost,v West Indies,St George's,2003-05-30,won
West Indies,254/7,48.4,5.21,2,won,v Australia,St George's,2003-05-30,lost
Sri Lanka,256/5,50,5.12,1,won,v Kenya,Sharjah,2003-06-04,won
Kenya,127,37.5,3.35,2,lost,v Sri Lanka,Sharjah,2003-06-04,lost
Zimbabwe,92,24.5,3.7,1,lost,v England,Bristol,2003-06-07,lost
England,95/4,17.5,5.32,2,won,v Zimbabwe,Bristol,2003-06-07,won
Australia,254/7,50,5.08,1,won,v Bangladesh,Darwin,2003-06-08,won
Bangladesh,142,47.3,2.98,2,lost,v Australia,Darwin,2003-06-08,lost
India,246/9,50,4.92,1,lost,v New Zealand,Cuttack,2003-06-11,won
New Zealand,249/6,47.3,5.24,2,won,v India,Cuttack,2003-06-11,lost
England,204/9,50,4.08,1,lost,v Pakistan,Manchester,2003-06-17,won
Pakistan,208/8,49.2,4.21,2,won,v England,Manchester,2003-06-17,lost
Pakistan,185,44,4.2,1,lost,v England,The Oval,2003-06-20,won
England,189/3,22,8.59,2,won,v Pakistan,The Oval,2003-06-20,lost
Pakistan,229/7,50,4.58,1,lost,v England,Lord's,2003-06-22,lost
England,231/6,48.3,4.76,2,won,v Pakistan,Lord's,2003-06-22,won
England,191/8,50,3.82,1,lost,v Zimbabwe,Nottingham,2003-06-26,lost
Zimbabwe,195/6,48,4.06,2,won,v England,Nottingham,2003-06-26,won
South Africa,264/6,50,5.28,1,lost,v England,The Oval,2003-06-28,won
England,265/4,45.5,5.78,2,won,v South Africa,The Oval,2003-06-28,lost
South Africa,272/5,50,5.44,1,won,v Zimbabwe,Canterbury,2003-06-29,lost
Zimbabwe,226/9,50,4.52,2,lost,v South Africa,Canterbury,2003-06-29,won
Australia,319/5,50,6.38,1,won,v Sri Lanka,Centurion,2003-07-03,won
Sri Lanka,223,47.4,4.67,2,lost,v Australia,Centurion,2003-07-03,lost
Kenya,225/6,50,4.5,1,lost,v India,Cape Town,2003-07-03,won
India,226/4,47.5,4.72,2,won,v Kenya,Cape Town,2003-07-03,lost
Sri Lanka,193,49.1,3.92,1,lost,v Zimbabwe,Sharjah,2003-07-04,won
Zimbabwe,194/6,48.4,3.98,2,won,v Sri Lanka,Sharjah,2003-07-04,lost
Sri Lanka,201,48.4,4.13,1,won,v West Indies,Bridgetown,2003-07-06,lost
West Indies,146,41,3.56,2,lost,v Sri Lanka,Bridgetown,2003-07-06,won
Pakistan,243/8,50,4.86,1,lost,v South Africa,Faisalabad,2003-07-10,won
South Africa,221/6,45,4.91,2,won,v Pakistan,Faisalabad,2003-07-10,lost
Bangladesh,143,44.4,3.2,1,lost,v England,Chittagong,2003-07-11,won
England,144/3,25.3,5.64,2,won,v Bangladesh,Chittagong,2003-07-11,lost
Pakistan,277/4,50,5.54,1,won,v New Zealand,Rawalpindi,2003-07-12,won
New Zealand,228/6,50,4.56,2,lost,v Pakistan,Rawalpindi,2003-07-12,lost
New Zealand,168,42.4,3.93,1,lost,v India,Wellington,2003-08-01,won
India,169/8,43.2,3.9,2,won,v New Zealand,Wellington,2003-08-01,lost
Zimbabwe,252/7,50,5.04,1,lost,v New Zealand,Bloemfontein,2003-08-03,won
New Zealand,253/4,47.2,5.34,2,won,v Zimbabwe,Bloemfontein,2003-08-03,lost
Pakistan,286/8,50,5.72,1,won,v Kenya,Sharjah,2003-08-04,won
Kenya,143,31.4,4.51,2,lost,v Pakistan,Sharjah,2003-08-04,lost
West Indies,312/4,50,6.24,1,lost,v Sri Lanka,Bridgetown,2003-08-06,won
Sri Lanka,313/6,49.3,6.32,2,won,v West Indies,Bridgetown,2003-08-06,lost
South Africa,198/9,50,3.96,1,lost,v England,Birmingham,2003-08-07,won
England,199/6,39,5.1,2,won,v South Africa,Birmingham,2003-08-07,lost
Sri Lanka,343/5,50,6.86,1,won,v Australia,Sydney,2003-09-01,lost
Australia,264,49.3,5.33,2,lost,v Sri Lanka,Sydney,2003-09-01,won
West Indies,278/5,50,5.56,1,won,v South Africa,Cape Town,2003-09-02,won
South Africa,275/9,49,5.61,2,lost,v West Indies,Cape Town,2003-09-02,lost
Pakistan,323/3,50,6.46,1,won,v Bangladesh,Multan,2003-09-09,won
Bangladesh,186,43.2,4.29,2,lost,v Pakistan,Multan,2003-09-09,lost
Australia,225/7,50,4.5,1,won,v New Zealand,Guwahati,2003-09-11,lost
New Zealand,181,45.3,3.97,2,lost,v Australia,Guwahati,2003-09-11,won
Pakistan,257/9,50,5.14,1,won,v Bangladesh,Lahore,2003-09-15,won
Bangladesh,201/9,44,4.56,2,lost,v Pakistan,Lahore,2003-09-15,lost
Bangladesh,222/8,50,4.44,1,lost,v Pakistan,Rawalpindi,2003-09-18,won
Pakistan,226/5,49.5,4.53,2,won,v Bangladesh,Rawalpindi,2003-09-18,lost
Pakistan,302/5,50,6.04,1,won,v Bangladesh,Karachi,2003-09-21,won
Bangladesh,244/7,50,4.88,2,lost,v Pakistan,Karachi,2003-09-21,lost
Zimbabwe,340/2,50,6.8,1,won,v Namibia,Harare,2003-10-02,lost
Namibia,104/5,25.1,4.13,2,lost,v Zimbabwe,Harare,2003-10-02,won
Sri Lanka,272/7,50,5.44,1,won,v New Zealand,Bloemfontein,2003-10-02,lost
New Zealand,225,45.3,4.94,2,lost,v Sri Lanka,Bloemfontein,2003-10-02,won
India,292/6,50,5.84,1,won,v Sri Lanka,Johannesburg,2003-10-03,lost
Sri Lanka,109,23,4.73,2,lost,v India,Johannesburg,2003-10-03,won
Zimbabwe,168,49.1,3.41,1,lost,v Pakistan,Sharjah,2003-10-04,won
Pakistan,172/2,35.2,4.86,2,won,v Zimbabwe,Sharjah,2003-10-04,lost
Pakistan,199/8,50,3.98,1,won,v Sri Lanka,Dambulla,2003-10-05,lost
Sri Lanka,120,43.1,2.77,2,lost,v Pakistan,Dambulla,2003-10-05,won
Zimbabwe,173/8,50,3.46,1,lost,v South Africa,Southampton,2003-10-07,won
South Africa,174/3,35.2,4.92,2,won,v Zimbabwe,Southampton,2003-10-07,lost
Pakistan,157,47.4,3.29,1,lost,v South Africa,Rawalpindi,2003-10-10,won
South Africa,158/4,38.5,4.06,2,won,v Pakistan,Rawalpindi,2003-10-10,lost
Bangladesh,134/9,50,2.68,1,lost,v England,Dhaka,2003-10-11,won
England,137/3,27.4,4.95,2,won,v Bangladesh,Dhaka,2003-10-11,lost
New Zealand,DNB,0,0,0,n/r,v India,Chennai,2003-10-23,lost
India,141/3,26.5,5.25,1,n/r,v New Zealand,Chennai,2003-10-23,won
New Zealand,DNB,0,-,0,n/r,v India,Chennai,2003-10-23,lost
India,283/5,50,5.66,1,won,v Australia,Gwalior,2003-10-26,won
Australia,246/9,50,4.92,2,lost,v India,Gwalior,2003-10-26,lost
New Zealand,97,33.4,2.88,1,lost,v Australia,Faridabad,2003-10-29,won
Australia,101/2,16.4,6.06,2,won,v New Zealand,Faridabad,2003-10-29,lost
Australia,271/4,50,5.42,1,won,v England,Hobart,2003-11-01,won
England,264/7,50,5.28,2,lost,v Australia,Hobart,2003-11-01,lost
New Zealand,199/9,50,3.98,1,lost,v India,Auckland,2003-11-01,lost
